counter_name,timestamp,time_range,Max Active Threads,Max Active Threads_extra,Throughput,Throughput_extra,Average Duration,Average Duration_extra,Median Duration,Median Duration_extra,> 500 ms,> 500 ms_extra,> 1 second,> 1 second_extra,> 2 seconds,> 2 seconds_extra,> 3 seconds,> 3 seconds_extra,Standard Deviation,Standard Deviation_extra,Max Duration,Max Duration_extra,Min Duration,Min Duration_extra,Total Hits,Total Hits_extra,Total Completions,Total Completions_extra,(SQL)Avg. Duration,(SQL)Avg. Duration_extra,(SQL)Std. Dev,(SQL)Std. Dev_extra,(SQL)Max Duration,(SQL)Max Duration_extra,(SQL)Min Duration,(SQL)Min Duration_extra,Max Active Threads,Max Active Threads_extra,Max Throughput,Max Throughput_extra,Average Duration,Average Duration_extra,Standard Deviation,Standard Deviation_extra,Max Duration,Max Duration_extra,Min Duration,Min Duration_extra,(SQL)Avg. Duration,(SQL)Avg. Duration_extra,(SQL)Std. Dev,(SQL)Std. Dev_extra,(SQL)Max Duration,(SQL)Max Duration_extra,(SQL)Min Duration,(SQL)Min Duration_extra
WebRequest,2023-01-21 04:44:51.909,04:34:49:821 -> 04:44:49:821,7, (2023-01-21 04:44:15:204),183.50, per minute,51.00,,0.0,,0.93,%,0.33,%,0.00,%,0.00,%,551.86,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 04:44:49:053),1835,,1835,,27.00,,159.09,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 04:34:49:506),7, (2023-01-21 04:44:15:204),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),51.00,,551.86,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 04:44:49:053),27.00,,159.09,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 04:34:49:506)
WebRequest,2023-01-21 04:54:51.927,04:44:49:821 -> 04:54:49:821,8, (2023-01-21 04:48:53:772),97.80, per minute,51.00,,0.0,,2.76,%,1.33,%,0.41,%,0.10,%,537.18,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 04:52:59:104),978,,978,,27.00,,156.14,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 04:44:49:737),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),51.00,,537.18,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 04:52:59:104),27.00,,156.14,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 04:44:49:737)
WebRequest,2023-01-21 05:04:51.945,04:54:49:821 -> 05:04:49:822,8, (2023-01-21 04:48:53:772),102.30, per minute,52.00,,0.0,,4.20,%,1.37,%,0.00,%,0.00,%,522.22,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 05:04:46:942),1023,,1023,,28.00,,160.86,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 04:53:49:361),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),52.00,,522.22,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 05:04:46:942),28.00,,160.86,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 04:53:49:361)
WebRequest,2023-01-21 05:14:51.963,05:04:49:822 -> 05:14:49:823,8, (2023-01-21 04:48:53:772),46.30, per minute,51.00,,0.0,,0.86,%,0.65,%,0.00,%,0.00,%,515.14,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 05:14:43:066),463,,463,,31.00,,165.12,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 05:04:47:001),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),51.00,,515.14,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 05:14:43:066),31.00,,165.12,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 05:04:47:001)
WebRequest,2023-01-21 05:24:51.980,05:14:49:823 -> 05:24:49:823,8, (2023-01-21 04:48:53:772),56.00, per minute,50.00,,0.0,,0.89,%,0.00,%,0.00,%,0.00,%,506.76,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 05:23:46:168),560,,560,,30.00,,163.23,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 05:14:43:146),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),50.00,,506.76,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 05:23:46:168),30.00,,163.23,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 05:14:43:146)
WebRequest,2023-01-21 05:34:51.998,05:24:49:823 -> 05:34:49:824,8, (2023-01-21 04:48:53:772),8.40, per minute,51.00,,0.0,,5.95,%,2.38,%,0.00,%,0.00,%,505.90,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 05:30:18:641),84,,84,,31.00,,163.25,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 05:23:48:008),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),51.00,,505.90,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 05:30:18:641),31.00,,163.25,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 05:23:48:008)
WebRequest,2023-01-21 05:44:52.018,05:34:49:824 -> 05:44:49:825,8, (2023-01-21 04:48:53:772),40.50, per minute,51.00,,0.0,,2.47,%,1.23,%,0.25,%,0.00,%,500.68,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 05:43:05:745),405,,405,,30.00,,162.36,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 05:34:21:881),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),51.00,,500.68,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 05:43:05:745),30.00,,162.36,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 05:34:21:881)
WebRequest,2023-01-21 05:54:52.037,05:44:49:825 -> 05:54:49:826,8, (2023-01-21 04:48:53:772),30.30, per minute,51.00,,0.0,,2.64,%,1.65,%,0.00,%,0.00,%,496.98,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 05:51:40:427),303,,303,,31.00,,161.99,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 05:43:44:177),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),51.00,,496.98,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 05:51:40:427),31.00,,161.99,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 05:43:44:177)
WebRequest,2023-01-21 06:04:52.055,05:54:49:826 -> 06:04:49:826,8, (2023-01-21 04:48:53:772),48.10, per minute,50.00,,0.0,,1.25,%,0.42,%,0.00,%,0.00,%,490.75,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 06:03:07:819),481,,481,,30.00,,160.91,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 05:54:26:849),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),50.00,,490.75,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 06:03:07:819),30.00,,160.91,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 05:54:26:849)
WebRequest,2023-01-21 06:14:52.072,06:04:49:826 -> 06:14:49:826,8, (2023-01-21 04:48:53:772),30.90, per minute,50.00,,0.0,,1.62,%,0.65,%,0.00,%,0.00,%,486.85,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 06:11:54:172),309,,309,,30.00,,160.36,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 06:03:07:819),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),50.00,,486.85,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 06:11:54:172),30.00,,160.36,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 06:03:07:819)
